route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,2024-08-16 12:01:00,07h 54m,2024-08-16 19:55:00,3.6,627.0,1
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1378,AC MULTI AXLE,2024-08-16 13:46:00,07h 39m,2024-08-16 21:25:00,2.5,729.0,4
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,2024-08-16 14:15:00,08h 35m,2024-08-16 22:50:00,4.3,627.0,15
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),2024-08-16 15:00:00,09h 01m,2024-08-17 00:01:00,4.8,620.0,1
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 370,AC MULTI AXLE,2024-08-16 15:25:00,06h 55m,2024-08-16 22:20:00,2.5,729.0,13
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),2024-08-16 16:02:00,08h 48m,2024-08-17 00:50:00,2.8,567.0,6
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),2024-08-16 16:16:00,09h 04m,2024-08-17 01:20:00,3.3,640.0,9
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),2024-08-16 16:45:00,08h 40m,2024-08-17 01:25:00,3.1,640.0,2
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),2024-08-16 19:04:00,09h 20m,2024-08-17 04:24:00,4.4,640.0,15
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),2024-08-16 20:00:00,08h 25m,2024-08-17 04:25:00,3.5,473.0,1
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),2024-08-16 20:31:00,09h 05m,2024-08-17 05:36:00,3.8,640.0,7
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),2024-08-16 21:31:00,09h 05m,2024-08-17 06:36:00,3.4,640.0,3
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),2024-08-16 22:12:00,09h 24m,2024-08-17 07:36:00,3.8,640.0,2
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),2024-08-16 23:00:00,10h 30m,2024-08-17 09:30:00,4.1,469.0,1
