route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),2024-08-19 18:10:00,06h 09m,2024-08-20 00:19:00,3.7,692.0,12
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67096,Volvo AC Seater (2+2),2024-08-19 16:15:00,07h 00m,2024-08-19 23:15:00,4.2,845.0,13
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67135,Volvo AC Seater (2+2),2024-08-19 17:35:00,08h 00m,2024-08-20 01:35:00,4.1,845.0,30
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),2024-08-19 19:50:00,07h 35m,2024-08-20 03:25:00,3.2,845.0,23
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),2024-08-19 20:50:00,07h 00m,2024-08-20 03:50:00,4.7,845.0,11
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),2024-08-19 21:50:00,05h 59m,2024-08-20 03:49:00,4.1,845.0,1
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),2024-08-19 22:27:00,06h 33m,2024-08-20 05:00:00,4.6,1370.0,17
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Laxmi holidays,VE A/C Sleeper (2+1),2024-08-19 23:55:00,06h 50m,2024-08-20 06:45:00,4.4,1600.0,26
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),2024-08-19 23:55:00,06h 10m,2024-08-20 06:05:00,4.6,1524.0,21
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,AdArmaan Tour & Travels,A/C Seater / Sleeper (2+1),2024-08-19 22:50:00,07h 10m,2024-08-20 06:00:00,3.3,719.0,12
